This table lists the names of virus species known to probably interact with insects. The data is taken from the virushostdb database (downloaded on 23/05/2022), which lists a wide variety of virus species associated with their presumed hosts. We have also added two important exploratory studies of RNA viruses (shi_redefining_2016, Haoming et al_insect_2020). The viral genomic structures associated with the viruses were retrieved from the ICTV website (2021.v1). Each column represents the information retrieved for each virus species from one of the three sources listed. The Hostdb_Host_lineage column corresponds to the information of the insect host observed interacting with the virus of interest. If a column with the suffix 'Shi' or 'Haoming' contains information for a virus species, then this means that this RNA virus species was found in their dataset in an insect. );;;;;;;;;;;;
Virus_Name;Putative_Genome_Composition;ICTV_Genus;Hostdb_Host_name;Hostdb_Host_lineage;Hostdb_Family;Shi_Family;Haoming_Family;Haoming_Clade;Haoming_Host;ICTV_Genome_Composition;ICTV_Family;Consensus_family
Agrotis_ipsilon_multiple_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Agrotis ipsilon;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Agrotis";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Agrotis_segetum_granulovirus;dsDNA;Betabaculovirus;Agrotis segetum;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Agrotis";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Agrotis_segetum_nucleopolyhedrovirus_A;dsDNA;Alphabaculovirus;Lepidoptera;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Agrotis_segetum_nucleopolyhedrovirus_B;dsDNA;Alphabaculovirus;Agrotis segetum;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Agrotis";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Aguacate_virus;;;Lutzomyia;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Psychodomorpha; Psychodoidea; Psychodidae; Phlebotominae";Phenuiviridae;;;;;ssRNA(-);Phenuiviridae;Phenuiviridae
Aguacate_virus;;;Lutzomyia;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Psychodomorpha; Psychodoidea; Psychodidae; Phlebotominae";Phenuiviridae;;;;;ssRNA(-);Phenuiviridae;Phenuiviridae
Alajuela_virus;;;Aedeomyia squamipennis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedeomyiini; Aedeomyia";Peribunyaviridae;;;;;ssRNA(-);Peribunyaviridae;Peribunyaviridae
Alcube_virus;;;Phlebotomus perniciosus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Psychodomorpha; Psychodoidea; Psychodidae; Phlebotominae; Phlebotomus; Larroussius";Phenuiviridae;;;;;ssRNA(-);Phenuiviridae;Phenuiviridae
Alcube_virus;;;Phlebotomus perniciosus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Psychodomorpha; Psychodoidea; Psychodidae; Phlebotominae; Phlebotomus; Larroussius";Phenuiviridae;;;;;ssRNA(-);Phenuiviridae;Phenuiviridae
Almpiwar_virus;;;Culex quinquefasciatus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Culicini; Culex; Culex";Rhabdoviridae;;;;;ssRNA(-);Rhabdoviridae;Rhabdoviridae
